Date,Business Zone,Supply Volume,Bill Volume
1-Jan-22,Araneta-Libis,61.24,52.65
1-Jan-22,Elliptical,57.93,48.77
1-Jan-22,San Juan,43.74,37.74
1-Jan-22,Tandang sora,54.05,45.51
1-Jan-22,Timog,33.64,29.12
1-Jan-22,Up-Katipunan,51.56,41.68
1-Feb-22,Araneta-Libis,62.64,53.11
1-Feb-22,Elliptical,57.25,48.27
1-Feb-22,San Juan,44.93,38.51
1-Feb-22,Tandang sora,54.29,46.76
1-Feb-22,Timog,33.88,29.26
1-Feb-22,Up-Katipunan,50.7,42.06
1-Mar-22,Araneta-Libis,64.2,55.91
1-Mar-22,Elliptical,59.06,50.92
1-Mar-22,San Juan,45.59,41.03
1-Mar-22,Tandang sora,55.87,49.35
1-Mar-22,Timog,34.79,30.47
1-Mar-22,Up-Katipunan,51.25,44.41
1-Apr-22,Araneta-Libis,66.78,58.5
1-Apr-22,Elliptical,60.97,52.83
1-Apr-22,San Juan,46.39,40.48
1-Apr-22,Tandang sora,56.49,49.21
1-Apr-22,Timog,36.1,31.21
1-Apr-22,Up-Katipunan,52.53,44.94
1-May-22,Araneta-Libis,67.33,58.27
1-May-22,Elliptical,60.61,53.14
1-May-22,San Juan,46.39,40.31
1-May-22,Tandang sora,57.23,49.2
1-May-22,Timog,35.81,31.08
1-May-22,Up-Katipunan,51.83,44.94
1-Jun-22,Araneta-Libis,67.57,57.98
1-Jun-22,Elliptical,61.47,53.14
1-Jun-22,San Juan,47.74,41.21
1-Jun-22,Tandang sora,58.14,49.64
1-Jun-22,Timog,36.14,31.84
1-Jun-22,Up-Katipunan,52.58,45.16
1-Jul-22,Araneta-Libis,67.61,57.9
1-Jul-22,Elliptical,62.37,53.57
1-Jul-22,San Juan,48.15,41.58
1-Jul-22,Tandang sora,58.53,49.57
1-Jul-22,Timog,36.88,31.96
1-Jul-22,Up-Katipunan,53.86,45.15
1-Aug-22,Araneta-Libis,65.77,57.15
1-Aug-22,Elliptical,63.6,52.83
1-Aug-22,San Juan,48.11,41.12
1-Aug-22,Tandang sora,58.16,48.68
1-Aug-22,Timog,35.91,31.61
1-Aug-22,Up-Katipunan,52.66,44.96
1-Sep-22,Araneta-Libis,65.45,56.75
1-Sep-22,Elliptical,64.1,52.77
1-Sep-22,San Juan,48.43,41.27
1-Sep-22,Tandang sora,57.3,47.18
1-Sep-22,Timog,36.63,31.33
1-Sep-22,Up-Katipunan,51.72,44.89
1-Oct-22,Araneta-Libis,65.24,57.54
1-Oct-22,Elliptical,63.42,52.69
1-Oct-22,San Juan,49.15,41.53
1-Oct-22,Tandang sora,57.25,48.11
1-Oct-22,Timog,36.85,31.79
1-Oct-22,Up-Katipunan,51.98,46.32
1-Nov-22,Araneta-Libis,65.47,57.64
1-Nov-22,Elliptical,61.88,53.36
1-Nov-22,San Juan,48.91,41.05
1-Nov-22,Tandang sora,56.79,47.7
1-Nov-22,Timog,36.91,31.78
1-Nov-22,Up-Katipunan,53.31,45.61
1-Dec-22,Araneta-Libis,67.06,58.73
1-Dec-22,Elliptical,61.5,54.02
1-Dec-22,San Juan,49.46,41.34
1-Dec-22,Tandang sora,55.94,48.08
1-Dec-22,Timog,37.7,32.71
1-Dec-22,Up-Katipunan,52.61,46.52
1-Jan-23,Araneta-Libis,64.03,56.43
1-Jan-23,Elliptical,60.76,51.69
1-Jan-23,San Juan,46.66,39.17
1-Jan-23,Tandang sora,55.45,46.4
1-Jan-23,Timog,36.67,30.85
1-Jan-23,Up-Katipunan,53.19,44.36
1-Feb-23,Araneta-Libis,65.27,57.6
1-Feb-23,Elliptical,60.45,52.47
1-Feb-23,San Juan,48.18,40.42
1-Feb-23,Tandang sora,55.54,46.34
1-Feb-23,Timog,36.99,31.6
1-Feb-23,Up-Katipunan,52.87,45.83
1-Mar-23,Araneta-Libis,67.03,59.02
1-Mar-23,Elliptical,62.79,53.31
1-Mar-23,San Juan,48.41,41.21
1-Mar-23,Tandang sora,54.65,47.24
1-Mar-23,Timog,37.46,32.12
1-Mar-23,Up-Katipunan,52.59,46.81
1-Apr-23,Araneta-Libis,67.22,58.92
1-Apr-23,Elliptical,63.77,53.74
1-Apr-23,San Juan,48.79,41.91
1-Apr-23,Tandang sora,55.53,48.7
1-Apr-23,Timog,38.32,32.42
1-Apr-23,Up-Katipunan,57.07,47.32
1-May-23,Araneta-Libis,68.36,58.87
1-May-23,Elliptical,64.17,53.73
1-May-23,San Juan,50.33,42.98
1-May-23,Tandang sora,56.49,49.7
1-May-23,Timog,39.39,33.41
1-May-23,Up-Katipunan,53.96,46.91
1-Jun-23,Araneta-Libis,67.91,59.39
1-Jun-23,Elliptical,65.26,54.14
1-Jun-23,San Juan,50.32,42.77
1-Jun-23,Tandang sora,56.12,47.68
1-Jun-23,Timog,40,33.23
1-Jun-23,Up-Katipunan,55.89,46.37
1-Jul-23,Araneta-Libis,67.93,58.45
